date,ipod,iphone,ipad,imac,macbook,apple watch,icloud,ios,osx,wwdc
2004-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-11,4232.21566749433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-08,2710.62178052689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.031917618391,0.0
2004-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2618.4116944161615,0.0
2004-02-29,4269.547225664193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9992.10403611031,0.0
2004-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2784.2292113966996,0.0
2004-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4461.543888048367,0.0,0.0
2004-04-18,2311.726678407419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-25,7447.623290986262,0.0,0.0,2437.7283255498646,0.0,0.0,0.0,0.0,2437.7283255498646,0.0
2004-05-02,4735.976436509026,0.0,0.0,0.0,0.0,0.0,0.0,2367.988218254513,2367.988218254513,0.0
2004-05-09,2356.7922253938714,0.0,0.0,0.0,0.0,0.0,0.0,2356.7922253938714,0.0,0.0
2004-05-16,2248.384958484628,0.0,0.0,0.0,0.0,0.0,0.0,2248.384958484628,0.0,0.0
2004-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.3314536951357,0.0
2004-05-30,2205.6905803935165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8932.754047468386,0.0
2004-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2274.990936762872,0.0
2004-06-13,2322.5287909979534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.4690666472093,0.0,0.0
2004-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161.79076043453,0.0
